id,code,name,region
0,0,0,0
1,AL,Alabama,Southern
2,AK,Alaska,remove
3,3,3,3
4,AZ,Arizona,Western
5,AR,Arkansas,Southern
6,CA,California,California
7,7,7,7
8,CO,Colorado,Western
9,CT,Connecticut,NorthEast
10,DE,Delaware,NorthEast
11,DC,District of Columbia,NorthEast
12,FL,Florida,Southern
13,GA,Georgia,Southern
14,14,14,remove
15,HI,Hawaii,remove
16,ID,Idaho,Western
17,IL,Illinois,MidWest
18,IN,Indiana,MidWest
19,IA,Iowa,MidWest
20,KS,Kansas,MidWest
21,KY,Kentucky,Southern
22,LA,Louisiana,Southern
23,ME,Maine,NorthEast
24,MD,Maryland,NorthEast
25,MA,Massachusetts,NorthEast
26,MI,Michigan,MidWest
27,MN,Minnesota,MidWest
28,MS,Mississippi,Southern
29,MO,Missouri,MidWest
30,MT,Montana,Western
31,NE,Nebraska,MidWest
32,NV,Nevada,Western
33,NH,New Hampshire,NorthEast
34,NJ,New Jersey,NorthEast
35,NM,New Mexico,Western
36,NY,New York,NorthEast
37,NC,North Carolina,Southern
38,ND,North Dakota,MidWest
39,OH,Ohio,MidWest
40,OK,Oklahoma,MidWest
41,OR,Oregon,Western
42,PA,Pennsylvania,NorthEast
43,43,43,remove
44,RI,Rhode Island,NorthEast
45,SC,South Carolina,Southern
46,SD,South Dakota,MidWest
47,TN,Tennessee,Southern
48,TX,Texas,Southern
49,UT,Utah,Western
50,VT,Vermont,NorthEast
51,VA,Virginia,Southern
52,52,52,remove
53,WA,Washington,Western
54,WV,West Virginia,Southern
55,WI,Wisconsin,MidWest
56,WY,Wyoming,Western
